year,constructorName,wins
1950,Alfa Romeo,6
1950,Kurtis Kraft,1
1951,Alfa Romeo,4
1951,Ferrari,3
1951,Kurtis Kraft,1
1952,Ferrari,7
1952,Kuzma,1
1953,Ferrari,7
1953,Kurtis Kraft,1
1953,Maserati,1
1954,Ferrari,2
1954,Kurtis Kraft,1
1954,Maserati,2
1954,Mercedes,4
1955,Ferrari,1
1955,Kurtis Kraft,1
1955,Mercedes,5
1956,Ferrari,5
1956,Maserati,2
1956,Watson,1
1957,Epperly,1
1957,Maserati,4
1957,Vanwall,3
1958,Cooper,2
1958,Epperly,1
1958,Ferrari,2
1958,Vanwall,6
1959,BRM,1
1959,Cooper-Climax,5
1959,Ferrari,2
1959,Watson,1
1960,Cooper-Climax,6
1960,Ferrari,1
1960,Team Lotus,2
1960,Watson,1
1961,Ferrari,5
1961,Lotus-Climax,3
1962,BRM,4
1962,Cooper-Climax,1
1962,Lotus-Climax,3
1962,Porsche,1
1963,BRM,2
1963,Ferrari,1
1963,Lotus-Climax,7
1964,BRM,2
1964,Brabham-Climax,2
1964,Ferrari,3
1964,Lotus-Climax,3
1965,BRM,3
1965,Honda,1
1965,Lotus-Climax,6
1966,BRM,1
1966,Brabham-Repco,4
1966,Cooper-Maserati,1
1966,Ferrari,2
1966,Lotus-BRM,1
1967,Brabham-Repco,4
1967,Cooper-Maserati,1
1967,Eagle-Weslake,1
1967,Honda,1
1967,Lotus-Ford,4
1968,Ferrari,1
1968,Lotus-Ford,5
1968,Matra-Ford,3
1968,McLaren-Ford,3
1969,Brabham-Ford,2
1969,Lotus-Ford,2
1969,Matra-Ford,6
1969,McLaren-Ford,1
1970,BRM,1
1970,Brabham,1
1970,Ferrari,4
1970,March,1
1970,Team Lotus,6
1971,BRM,2
1971,Ferrari,2
1971,Tyrrell,7
1972,BRM,1
1972,Ferrari,1
1972,McLaren,1
1972,Team Lotus,5
1972,Tyrrell,4
1973,McLaren,3
1973,Team Lotus,7
1973,Tyrrell,5
1974,Brabham,3
1974,Ferrari,3
1974,McLaren,4
1974,Team Lotus,3
1974,Tyrrell,2
1975,Brabham,2
1975,Ferrari,6
1975,Hesketh,1
1975,March,1
1975,McLaren,3
1975,Tyrrell,1
1976,Ferrari,6
1976,March,1
1976,McLaren,6
1976,Penske,1
1976,Team Lotus,1
1976,Tyrrell,1
1977,Ferrari,4
1977,Ligier,1
1977,McLaren,3
1977,Shadow,1
1977,Team Lotus,5
1977,Wolf,3
1978,Brabham,2
1978,Ferrari,5
1978,Team Lotus,8
1978,Tyrrell,1
1979,Ferrari,6
1979,Ligier,3
1979,Renault,1
1979,Williams,5
1980,Brabham,3
1980,Ligier,2
1980,Renault,3
1980,Williams,6
1981,Brabham,3
1981,Ferrari,2
1981,Ligier,2
1981,McLaren,1
1981,Renault,3
1981,Williams,4
1982,Brabham,2
1982,Ferrari,3
1982,McLaren,4
1982,Renault,4
1982,Team Lotus,1
1982,Tyrrell,1
1982,Williams,1
1983,Brabham,4
1983,Ferrari,4
1983,McLaren,1
1983,Renault,4
1983,Tyrrell,1
1983,Williams,1
1984,Brabham,2
1984,Ferrari,1
1984,McLaren,12
1984,Williams,1
1985,Brabham,1
1985,Ferrari,2
1985,McLaren,6
1985,Team Lotus,3
1985,Williams,4
1986,Benetton,1
1986,McLaren,4
1986,Team Lotus,2
1986,Williams,9
1987,Ferrari,2
1987,McLaren,3
1987,Team Lotus,2
1987,Williams,9
1988,Ferrari,1
1988,McLaren,15
1989,Benetton,1
1989,Ferrari,3
1989,McLaren,10
1989,Williams,2
1990,Benetton,2
1990,Ferrari,6
1990,McLaren,6
1990,Williams,2
1991,Benetton,1
1991,McLaren,8
1991,Williams,7
1992,Benetton,1
1992,McLaren,5
1992,Williams,10
1993,Benetton,1
1993,McLaren,5
1993,Williams,10
1994,Benetton,8
1994,Ferrari,1
1994,Williams,7
1995,Benetton,11
1995,Ferrari,1
1995,Williams,5
1996,Ferrari,3
1996,Ligier,1
1996,Williams,12
1997,Benetton,1
1997,Ferrari,5
1997,McLaren,3
1997,Williams,8
1998,Ferrari,6
1998,Jordan,1
1998,McLaren,9
1999,Ferrari,6
1999,Jordan,2
1999,McLaren,7
1999,Stewart,1
2000,Ferrari,10
2000,McLaren,7
2001,Ferrari,9
2001,McLaren,4
2001,Williams,4
2002,Ferrari,15
2002,McLaren,1
2002,Williams,1
2003,Ferrari,8
2003,Jordan,1
2003,McLaren,2
2003,Renault,1
2003,Williams,4
2004,Ferrari,15
2004,McLaren,1
2004,Renault,1
2004,Williams,1
2005,Ferrari,1
2005,McLaren,10
2005,Renault,8
2006,Ferrari,9
2006,Honda,1
2006,Renault,8
2007,Ferrari,9
2007,McLaren,8
2008,BMW Sauber,1
2008,Ferrari,8
2008,McLaren,6
2008,Renault,2
2008,Toro Rosso,1
2009,Brawn,8
2009,Ferrari,1
2009,McLaren,2
2009,Red Bull,6
2010,Ferrari,5
2010,McLaren,5
2010,Red Bull,9
2011,Ferrari,1
2011,McLaren,6
2011,Red Bull,12
2012,Ferrari,3
2012,Lotus F1,1
2012,McLaren,7
2012,Mercedes,1
2012,Red Bull,7
2012,Williams,1
2013,Ferrari,2
2013,Lotus F1,1
2013,Mercedes,3
2013,Red Bull,13
2014,Mercedes,16
2014,Red Bull,3
2015,Ferrari,3
2015,Mercedes,16
2016,Mercedes,19
2016,Red Bull,2
2017,Ferrari,5
2017,Mercedes,12
2017,Red Bull,3
2018,Ferrari,6
2018,Mercedes,11
2018,Red Bull,4
2019,Ferrari,3
2019,Mercedes,15
2019,Red Bull,3
2020,AlphaTauri,1
2020,Mercedes,13
2020,Racing Point,1
2020,Red Bull,2
2021,Alpine F1 Team,1
2021,McLaren,1
2021,Mercedes,9
